customer_id,senior_citizen,partner,dependents,tenure,contract,paperless_billing,payment_method,internet_service,tech_support,monthly_charges,total_charges,churn
CUST-000000,0,Yes,No,6,Month-to-month,Yes,Electronic check,No,No,64.53,387.99,1
CUST-000001,0,No,No,56,One year,No,Electronic check,DSL,No,28.54,1596.31,0
CUST-000002,0,Yes,No,47,Two year,Yes,Bank transfer,Fiber optic,Yes,59.91,2806.48,0
CUST-000003,0,No,No,32,Two year,Yes,Electronic check,Fiber optic,No,36.89,1132.55,0
CUST-000004,0,Yes,No,31,Month-to-month,No,Electronic check,Fiber optic,No,56.68,1817.01,0
CUST-000005,0,No,No,62,Month-to-month,No,Credit card,No,No internet service,18.0,1097.86,0
CUST-000006,0,Yes,No,6,Two year,No,Bank transfer,DSL,No,31.16,258.26,0
CUST-000007,1,No,No,50,Two year,No,Credit card,DSL,No,108.92,5446.64,0
CUST-000008,0,No,No,14,Month-to-month,Yes,Electronic check,Fiber optic,No,89.91,1291.16,0
CUST-000009,0,Yes,No,6,One year,No,Electronic check,Fiber optic,No internet service,104.57,655.31,1
CUST-000010,0,Yes,Yes,38,Month-to-month,No,Credit card,No,No internet service,106.63,4010.73,0
CUST-000011,0,No,No,71,Month-to-month,No,Credit card,Fiber optic,No,85.19,6066.85,1
CUST-000012,0,Yes,No,53,Month-to-month,Yes,Bank transfer,DSL,No,51.41,2821.15,0
CUST-000013,0,No,No,55,Month-to-month,Yes,Bank transfer,DSL,No,33.88,1875.98,0
CUST-000014,0,No,No,52,Month-to-month,Yes,Electronic check,Fiber optic,No internet service,99.4,5213.86,0
CUST-000015,0,No,No,57,Two year,Yes,Bank transfer,Fiber optic,No internet service,66.94,3850.24,0
CUST-000016,1,Yes,No,37,Month-to-month,No,Electronic check,DSL,No,120.0,4455.35,0
CUST-000017,0,No,No,9,Month-to-month,No,Electronic check,Fiber optic,No,54.05,495.77,0
CUST-000018,0,No,Yes,61,Month-to-month,Yes,Mailed check,No,Yes,120.0,7347.37,0
CUST-000019,0,Yes,Yes,32,Month-to-month,Yes,Electronic check,Fiber optic,Yes,60.3,1967.76,1
CUST-000020,0,No,Yes,36,Month-to-month,Yes,Electronic check,Fiber optic,Yes,105.08,3715.27,1
CUST-000021,0,Yes,No,27,One year,Yes,Electronic check,DSL,Yes,115.9,3141.67,0
CUST-000022,0,No,Yes,13,Month-to-month,No,Electronic check,No,No,34.31,436.83,1
CUST-000023,0,Yes,No,67,One year,Yes,Credit card,DSL,No,50.45,3360.57,0
CUST-000024,0,Yes,Yes,57,Two year,Yes,Credit card,Fiber optic,No,34.01,2003.37,0
CUST-000025,0,Yes,Yes,47,Month-to-month,Yes,Electronic check,DSL,No,28.1,1284.04,1
CUST-000026,1,No,No,29,Two year,Yes,Electronic check,DSL,Yes,85.01,2395.55,0
CUST-000027,1,No,Yes,60,Two year,No,Credit card,DSL,No,59.1,3585.79,0
CUST-000028,0,Yes,No,39,Two year,Yes,Electronic check,DSL,Yes,66.57,2525.21,0
CUST-000029,0,Yes,No,32,One year,No,Bank transfer,No,Yes,81.69,2517.68,0
CUST-000030,0,No,No,32,One year,No,Electronic check,DSL,No internet service,18.0,621.41,0
CUST-000031,1,Yes,No,16,One year,Yes,Bank transfer,No,Yes,103.6,1665.54,0
CUST-000032,0,No,No,6,One year,Yes,Electronic check,Fiber optic,No,54.53,350.82,1
CUST-000033,0,No,No,40,Month-to-month,Yes,Bank transfer,DSL,No,80.97,3216.68,1
CUST-000034,0,No,Yes,64,Two year,Yes,Mailed check,Fiber optic,No,83.62,5282.46,0
CUST-000035,0,No,No,4,One year,Yes,Electronic check,DSL,No,106.12,365.19,0
CUST-000036,0,No,No,62,One year,Yes,Mailed check,No,No,61.85,3821.09,0
CUST-000037,1,Yes,No,60,Month-to-month,Yes,Mailed check,DSL,No,18.0,1016.38,0
CUST-000038,0,Yes,No,20,Month-to-month,Yes,Credit card,No,No,66.71,1349.55,0
CUST-000039,0,Yes,No,46,Month-to-month,No,Mailed check,DSL,No internet service,71.02,3243.8,0
CUST-000040,0,Yes,No,12,Month-to-month,No,Electronic check,DSL,Yes,33.97,416.89,1
CUST-000041,0,No,Yes,55,Month-to-month,Yes,Bank transfer,DSL,No,69.42,3825.86,1
CUST-000042,0,No,No,51,Month-to-month,Yes,Electronic check,Fiber optic,Yes,54.17,2782.01,1
CUST-000043,0,No,No,25,Month-to-month,No,Credit card,Fiber optic,Yes,24.72,642.97,0
CUST-000044,0,No,Yes,4,Month-to-month,Yes,Credit card,No,No internet service,85.14,323.36,0
CUST-000045,0,Yes,Yes,70,Month-to-month,Yes,Electronic check,Fiber optic,No,48.09,3375.5,0
CUST-000046,0,No,No,32,Two year,Yes,Bank transfer,DSL,Yes,52.81,1701.72,1
CUST-000047,0,No,No,65,Month-to-month,Yes,Bank transfer,Fiber optic,No,51.12,3201.36,0
CUST-000048,0,No,Yes,49,Month-to-month,Yes,Electronic check,Fiber optic,Yes,102.06,5033.27,0
CUST-000049,0,Yes,No,56,Month-to-month,No,Bank transfer,No,No,63.77,3578.62,0
CUST-000050,0,No,No,55,Month-to-month,No,Mailed check,Fiber optic,No,67.37,3733.55,0
CUST-000051,0,Yes,Yes,14,Month-to-month,No,Mailed check,Fiber optic,No internet service,51.78,660.58,0
CUST-000052,0,Yes,No,26,One year,No,Bank transfer,DSL,Yes,78.89,2035.35,0
CUST-000053,0,No,No,34,Two year,Yes,Bank transfer,No,No,105.48,3531.74,0
CUST-000054,1,Yes,Yes,36,Month-to-month,No,Bank transfer,DSL,No internet service,84.44,3077.07,0
CUST-000055,0,Yes,No,3,One year,No,Mailed check,No,No internet service,85.61,186.57,0
CUST-000056,0,No,No,39,Month-to-month,Yes,Bank transfer,DSL,Yes,83.19,3197.98,1
CUST-000057,0,Yes,No,11,Month-to-month,No,Mailed check,Fiber optic,No,23.59,286.21,1
CUST-000058,0,Yes,Yes,54,Month-to-month,No,Bank transfer,No,No internet service,38.72,2059.41,0
CUST-000059,0,No,No,49,Month-to-month,Yes,Electronic check,No,No,58.85,2837.23,1
CUST-000060,0,No,No,67,One year,Yes,Mailed check,Fiber optic,No,43.22,2941.08,0
CUST-000061,0,No,No,54,One year,No,Mailed check,Fiber optic,No,33.06,1832.63,0
CUST-000062,0,No,No,26,One year,Yes,Electronic check,No,No internet service,18.0,504.1,0
CUST-000063,0,Yes,No,70,Month-to-month,Yes,Electronic check,Fiber optic,No,24.6,1764.44,0
CUST-000064,0,Yes,No,29,One year,Yes,Mailed check,Fiber optic,Yes,57.3,1650.12,0
CUST-000065,0,Yes,Yes,23,Month-to-month,Yes,Electronic check,DSL,No,62.92,1436.93,0
CUST-000066,0,No,No,66,Month-to-month,Yes,Mailed check,Fiber optic,No,41.21,2687.46,0
CUST-000067,0,Yes,No,27,Month-to-month,Yes,Mailed check,Fiber optic,No,67.37,1827.38,1
CUST-000068,0,No,Yes,5,One year,Yes,Bank transfer,Fiber optic,No,51.98,233.51,1
CUST-000069,0,No,Yes,34,Two year,Yes,Credit card,DSL,No,97.72,3300.83,0
CUST-000070,0,Yes,Yes,58,Month-to-month,No,Credit card,Fiber optic,No,60.15,3518.7,0
CUST-000071,0,No,Yes,13,One year,Yes,Credit card,No,No internet service,85.89,1175.8,0
CUST-000072,0,No,Yes,33,One year,No,Credit card,Fiber optic,No,71.1,2366.21,0
CUST-000073,0,No,Yes,9,Two year,Yes,Electronic check,No,No,22.94,296.18,0
CUST-000074,0,No,No,50,Month-to-month,Yes,Electronic check,DSL,No,62.28,3078.72,0
CUST-000075,0,Yes,No,34,One year,No,Electronic check,Fiber optic,Yes,27.93,857.72,0
CUST-000076,0,No,Yes,24,One year,No,Electronic check,Fiber optic,No,61.76,1517.97,1
CUST-000077,0,Yes,No,16,Two year,No,Credit card,Fiber optic,Yes,42.65,643.81,0
CUST-000078,0,No,Yes,41,Month-to-month,No,Credit card,Fiber optic,No,76.46,3121.18,1
CUST-000079,1,No,No,48,Two year,Yes,Bank transfer,DSL,No,24.73,1098.55,0
CUST-000080,0,No,No,68,Month-to-month,Yes,Credit card,Fiber optic,Yes,65.44,4404.96,0
CUST-000081,0,Yes,No,31,Two year,No,Bank transfer,DSL,No,82.17,2472.16,0
CUST-000082,0,Yes,No,11,Month-to-month,Yes,Mailed check,Fiber optic,No internet service,92.23,992.81,1
CUST-000083,1,No,No,60,Month-to-month,Yes,Electronic check,No,Yes,42.07,2504.47,0
CUST-000084,0,Yes,Yes,45,Month-to-month,Yes,Credit card,DSL,No internet service,65.53,2953.35,1
CUST-000085,0,No,No,51,Month-to-month,No,Bank transfer,Fiber optic,Yes,70.52,3658.51,0
CUST-000086,0,No,No,7,Month-to-month,Yes,Mailed check,Fiber optic,Yes,111.41,813.72,1
CUST-000087,0,Yes,No,22,Month-to-month,Yes,Electronic check,Fiber optic,No,20.56,371.21,0
CUST-000088,0,No,No,56,Month-to-month,Yes,Credit card,DSL,Yes,37.67,2139.92,0
CUST-000089,0,Yes,No,60,Month-to-month,Yes,Credit card,Fiber optic,No internet service,120.0,7205.59,0
CUST-000090,0,No,No,31,One year,Yes,Mailed check,Fiber optic,No,56.81,1756.22,1
CUST-000091,0,Yes,No,58,Two year,Yes,Credit card,Fiber optic,No,18.0,1042.87,0
CUST-000092,0,Yes,No,61,One year,No,Mailed check,Fiber optic,No,47.52,2908.95,0
CUST-000093,1,Yes,No,28,Month-to-month,Yes,Credit card,Fiber optic,No,18.0,469.41,1
CUST-000094,0,No,No,65,Month-to-month,No,Bank transfer,No,No,72.23,4685.83,0
CUST-000095,0,No,No,21,Two year,Yes,Bank transfer,DSL,No,89.29,1934.29,0
CUST-000096,0,No,No,17,Month-to-month,Yes,Credit card,DSL,No internet service,37.65,604.85,0
CUST-000097,0,No,Yes,49,Month-to-month,No,Credit card,Fiber optic,No,50.88,2441.63,0
CUST-000098,0,No,No,46,Two year,Yes,Electronic check,Fiber optic,No,92.71,4261.57,0
CUST-000099,0,No,No,10,Two year,Yes,Credit card,Fiber optic,No,18.0,123.47,0
CUST-000100,0,Yes,Yes,60,Month-to-month,Yes,Mailed check,DSL,No,25.35,1434.86,0
CUST-000101,0,No,No,14,One year,Yes,Electronic check,DSL,No,58.16,797.02,0
CUST-000102,0,Yes,No,58,Month-to-month,Yes,Bank transfer,Fiber optic,No,42.43,2533.37,1
CUST-000103,1,No,No,0,One year,No,Mailed check,DSL,No,56.18,0.0,1
CUST-000104,0,No,Yes,58,Month-to-month,Yes,Mailed check,Fiber optic,Yes,27.09,1580.15,1
CUST-000105,1,Yes,Yes,57,Month-to-month,Yes,Mailed check,Fiber optic,No internet service,71.43,3965.0,0
CUST-000106,0,No,No,56,One year,Yes,Electronic check,DSL,No,60.52,3411.03,0
CUST-000107,1,Yes,Yes,48,Month-to-month,Yes,Electronic check,Fiber optic,No,81.48,3915.71,1
CUST-000108,1,No,Yes,34,One year,Yes,Bank transfer,No,No internet service,71.01,2381.09,0
CUST-000109,0,No,Yes,51,Month-to-month,Yes,Electronic check,No,No internet service,71.2,3640.2,0
CUST-000110,0,Yes,No,20,Two year,Yes,Bank transfer,DSL,No internet service,21.61,440.71,1
CUST-000111,0,Yes,Yes,56,Two year,Yes,Mailed check,Fiber optic,Yes,79.78,4414.71,0
CUST-000112,0,No,Yes,40,Month-to-month,Yes,Electronic check,No,No,55.07,2219.39,1
CUST-000113,0,Yes,No,33,One year,No,Electronic check,Fiber optic,No,60.0,2039.86,1
CUST-000114,0,No,No,36,Month-to-month,Yes,Mailed check,DSL,No,96.45,3460.8,0
CUST-000115,0,No,No,41,Month-to-month,No,Credit card,DSL,No,43.42,1736.84,1
CUST-000116,0,Yes,Yes,2,Month-to-month,Yes,Credit card,Fiber optic,No,105.54,202.2,1
CUST-000117,0,Yes,Yes,10,Two year,Yes,Mailed check,Fiber optic,No,108.33,1126.03,0
CUST-000118,0,No,No,17,Two year,Yes,Electronic check,No,No internet service,87.58,1427.54,0
CUST-000119,0,No,No,8,Two year,Yes,Bank transfer,No,No,35.58,313.57,0
CUST-000120,1,No,No,32,Two year,No,Mailed check,DSL,No internet service,18.0,542.1,0
CUST-000121,0,Yes,No,48,Two year,No,Mailed check,Fiber optic,No internet service,97.37,4685.86,0
CUST-000122,0,No,No,47,Month-to-month,Yes,Mailed check,DSL,No,68.34,3183.76,0
CUST-000123,0,Yes,No,34,Two year,Yes,Bank transfer,DSL,No internet service,42.64,1421.41,0
CUST-000124,0,Yes,No,62,One year,No,Electronic check,DSL,Yes,100.21,6289.17,0
CUST-000125,0,Yes,Yes,41,Month-to-month,Yes,Credit card,No,Yes,39.15,1534.7,0
CUST-000126,0,No,No,5,One year,No,Mailed check,DSL,No internet service,52.28,285.67,1
CUST-000127,1,Yes,No,55,Month-to-month,No,Electronic check,Fiber optic,No,80.75,4527.82,1
CUST-000128,0,Yes,Yes,41,Month-to-month,No,Credit card,Fiber optic,No,31.59,1329.47,0
CUST-000129,0,No,No,46,Month-to-month,Yes,Mailed check,DSL,No internet service,61.72,2772.57,0
CUST-000130,0,No,No,41,Month-to-month,Yes,Electronic check,Fiber optic,No,97.67,3940.39,1
CUST-000131,0,Yes,No,40,Month-to-month,Yes,Electronic check,DSL,Yes,71.33,2815.62,0
CUST-000132,0,No,No,6,Two year,Yes,Bank transfer,Fiber optic,Yes,102.42,622.42,1
CUST-000133,0,Yes,Yes,40,One year,No,Bank transfer,Fiber optic,No,99.01,3971.7,0
CUST-000134,0,Yes,No,58,Month-to-month,Yes,Mailed check,No,Yes,65.23,3719.76,0
CUST-000135,0,Yes,No,22,Month-to-month,Yes,Electronic check,Fiber optic,Yes,18.0,352.36,0
CUST-000136,0,No,No,44,Month-to-month,Yes,Electronic check,No,No internet service,31.83,1359.95,0
CUST-000137,1,No,Yes,2,Month-to-month,Yes,Mailed check,Fiber optic,No,87.9,166.76,1
CUST-000138,0,Yes,No,25,Two year,Yes,Mailed check,DSL,No,18.49,561.48,0
CUST-000139,1,Yes,No,31,Month-to-month,Yes,Mailed check,Fiber optic,Yes,55.2,1664.54,0
CUST-000140,0,Yes,Yes,71,One year,Yes,Mailed check,No,No,75.15,5286.8,0
CUST-000141,1,No,No,15,One year,No,Bank transfer,DSL,No,109.09,1579.69,0
CUST-000142,0,No,No,20,One year,No,Bank transfer,DSL,No,47.75,986.78,1
CUST-000143,0,Yes,No,29,Two year,Yes,Bank transfer,No,No,45.7,1323.23,0
CUST-000144,0,No,No,72,Month-to-month,Yes,Bank transfer,No,No,63.43,4522.15,0
CUST-000145,0,Yes,Yes,62,Two year,No,Electronic check,DSL,Yes,75.53,4664.72,0
CUST-000146,0,Yes,No,2,One year,No,Bank transfer,Fiber optic,Yes,60.37,81.16,0
CUST-000147,0,Yes,Yes,17,One year,Yes,Electronic check,Fiber optic,No,96.48,1654.95,0
CUST-000148,0,Yes,No,59,One year,Yes,Bank transfer,Fiber optic,Yes,41.03,2554.99,0
CUST-000149,0,No,No,4,Two year,No,Mailed check,Fiber optic,Yes,68.6,301.94,0
CUST-000150,0,No,Yes,62,Two year,Yes,Bank transfer,No,Yes,78.36,4853.67,0
CUST-000151,0,No,Yes,20,Month-to-month,Yes,Credit card,DSL,No internet service,52.99,1026.55,1
CUST-000152,0,Yes,No,66,Two year,Yes,Mailed check,Fiber optic,No,90.19,5885.37,0
CUST-000153,0,Yes,Yes,21,One year,No,Electronic check,DSL,No,69.47,1495.55,0
CUST-000154,0,Yes,No,31,Month-to-month,Yes,Credit card,Fiber optic,No,88.67,2782.74,1
CUST-000155,0,Yes,No,48,Two year,Yes,Mailed check,Fiber optic,No,70.82,3376.05,0
CUST-000156,0,Yes,Yes,9,Month-to-month,No,Mailed check,Fiber optic,Yes,76.29,747.28,0
CUST-000157,1,Yes,No,40,One year,Yes,Electronic check,No,No,46.03,1842.26,0
CUST-000158,0,No,No,36,Month-to-month,Yes,Mailed check,Fiber optic,No,46.08,1697.62,0
CUST-000159,0,No,No,57,Month-to-month,Yes,Mailed check,Fiber optic,No,101.73,5813.42,1
CUST-000160,0,Yes,Yes,72,Two year,No,Credit card,DSL,Yes,84.07,6044.18,0
CUST-000161,1,No,No,48,Month-to-month,No,Bank transfer,No,No internet service,34.31,1599.14,0
CUST-000162,0,Yes,Yes,29,Month-to-month,No,Mailed check,Fiber optic,No,70.43,2035.19,1
CUST-000163,0,No,No,29,Month-to-month,No,Bank transfer,Fiber optic,Yes,18.0,564.1,1
CUST-000164,1,No,No,30,Month-to-month,No,Credit card,Fiber optic,No internet service,47.78,1407.99,1
CUST-000165,0,Yes,Yes,59,Two year,No,Electronic check,Fiber optic,Yes,93.83,5557.96,0
CUST-000166,0,No,No,23,Two year,Yes,Bank transfer,Fiber optic,Yes,61.25,1354.61,0
CUST-000167,0,Yes,Yes,12,Month-to-month,No,Electronic check,DSL,Yes,68.54,861.48,1
CUST-000168,0,Yes,No,24,One year,Yes,Electronic check,DSL,No internet service,18.0,447.65,0
CUST-000169,1,No,No,1,Month-to-month,No,Bank transfer,No,Yes,53.23,0.0,0
CUST-000170,0,No,No,7,One year,Yes,Credit card,No,No,75.15,514.85,0
CUST-000171,0,Yes,No,6,Month-to-month,Yes,Credit card,Fiber optic,No,78.96,520.33,0
CUST-000172,1,Yes,No,56,Month-to-month,Yes,Mailed check,No,No,93.87,5193.77,1
CUST-000173,0,Yes,Yes,52,Month-to-month,Yes,Electronic check,Fiber optic,No,58.69,2998.33,0
CUST-000174,0,Yes,No,50,One year,No,Electronic check,Fiber optic,Yes,60.03,2998.03,0
CUST-000175,0,Yes,No,33,Month-to-month,No,Electronic check,No,No,25.04,932.99,1
CUST-000176,0,Yes,Yes,52,Month-to-month,No,Mailed check,Fiber optic,No,58.86,3027.09,0
CUST-000177,0,No,No,11,Two year,Yes,Mailed check,Fiber optic,No,27.15,323.41,0
CUST-000178,0,No,No,65,One year,No,Bank transfer,Fiber optic,Yes,18.0,1183.01,0
CUST-000179,1,No,Yes,36,Month-to-month,Yes,Electronic check,Fiber optic,No,32.44,1138.36,1
CUST-000180,0,Yes,No,68,Two year,Yes,Electronic check,DSL,No,110.26,7505.74,0
CUST-000181,1,Yes,No,11,Two year,No,Electronic check,No,No,56.88,603.29,0
CUST-000182,0,No,Yes,36,Month-to-month,Yes,Bank transfer,DSL,No,71.6,2559.71,0
CUST-000183,1,No,No,50,One year,No,Electronic check,Fiber optic,No,49.6,2396.94,1
CUST-000184,0,No,Yes,36,Month-to-month,Yes,Electronic check,DSL,No,18.0,646.78,0
CUST-000185,0,Yes,Yes,32,One year,No,Mailed check,Fiber optic,Yes,93.08,3023.51,0
CUST-000186,0,No,Yes,12,Month-to-month,No,Electronic check,Fiber optic,No,18.0,218.87,0
CUST-000187,0,No,No,27,One year,Yes,Mailed check,Fiber optic,Yes,48.36,1360.25,0
CUST-000188,1,Yes,Yes,17,Month-to-month,Yes,Credit card,Fiber optic,Yes,63.36,1106.14,0
CUST-000189,1,No,Yes,22,Month-to-month,Yes,Electronic check,DSL,Yes,71.91,1579.04,1
CUST-000190,0,Yes,Yes,49,Two year,Yes,Electronic check,DSL,Yes,43.21,2085.89,0
CUST-000191,0,Yes,No,46,Month-to-month,No,Electronic check,DSL,No,18.0,803.69,0
CUST-000192,0,No,Yes,44,Two year,No,Electronic check,Fiber optic,No,40.97,1729.15,0
CUST-000193,0,No,Yes,26,Two year,Yes,Credit card,No,No,42.54,1092.69,0
CUST-000194,1,Yes,No,70,Two year,Yes,Bank transfer,DSL,No,41.81,2934.0,0
CUST-000195,0,Yes,No,6,Month-to-month,Yes,Mailed check,Fiber optic,No,94.1,650.37,0
CUST-000196,0,Yes,Yes,25,Two year,No,Bank transfer,DSL,No,28.59,741.17,0
CUST-000197,1,No,No,8,Month-to-month,Yes,Electronic check,No,No internet service,74.03,549.0,1
CUST-000198,0,No,No,24,Month-to-month,No,Mailed check,No,No internet service,69.75,1602.03,0
CUST-000199,0,No,No,70,Two year,No,Electronic check,Fiber optic,No internet service,93.81,6556.37,0
CUST-000200,0,No,No,26,One year,Yes,Credit card,DSL,No internet service,61.01,1626.85,1
CUST-000201,0,Yes,No,66,Month-to-month,Yes,Bank transfer,Fiber optic,No internet service,88.73,5845.15,0
CUST-000202,0,No,Yes,36,Month-to-month,Yes,Electronic check,No,No,59.83,2180.98,1
CUST-000203,0,Yes,No,51,Two year,No,Bank transfer,DSL,No,78.03,3970.47,0
CUST-000204,0,No,Yes,33,One year,Yes,Electronic check,Fiber optic,No,19.91,692.88,0
CUST-000205,0,No,No,19,Month-to-month,Yes,Electronic check,No,Yes,18.0,262.14,0
CUST-000206,0,Yes,Yes,55,Two year,No,Electronic check,Fiber optic,No,76.33,4278.36,0
CUST-000207,1,Yes,No,70,Month-to-month,Yes,Electronic check,Fiber optic,No internet service,77.94,5400.18,1
CUST-000208,0,Yes,No,19,Month-to-month,Yes,Electronic check,Fiber optic,No,79.27,1545.82,1
CUST-000209,0,Yes,No,56,One year,Yes,Credit card,No,Yes,49.25,2744.39,0
CUST-000210,0,Yes,Yes,19,Two year,Yes,Electronic check,Fiber optic,No,109.69,2078.32,1
